Signal,GPIO MUX 1,Signal Type 1,Default Value 1,GPIO MUX 2,Signal Type 2,Default Value 2,GPIO MUX 3,Signal Type 3,Default Value 3,GPIO MUX 4,Signal Type 4,Default Value 4,GPIO MUX 5,Signal Type 5,Default Value 5,GPIO MUX 6,Signal Type 6,Default Value 6,GPIO MUX 7,Signal Type 7,Default Value 7,GPIO MUX 8,Signal Type 8,Default Value 8,GPIO MUX 9,Signal Type 9,Default Value 9,GPIO MUX 10,Signal Type 10,Default Value 10,GPIO MUX 11,Signal Type 11,Default Value 11,GPIO MUX 12,Signal Type 12,Default Value 12,GPIO MUX 13,Signal Type 13,Default Value 13,GPIO MUX 14,Signal Type 14,Default Value 14,GPIO MUX 15,Signal Type 15,Default Value 15,GPIO MUX 16,Signal Type 16,Default Value 16,GPIO MUX 17,Signal Type 17,Default Value 17,GPIO MUX 18,Signal Type 18,Default Value 18,GPIO MUX 19,Signal Type 19,Default Value 19,GPIO MUX 20,Signal Type 20,Default Value 20,GPIO MUX 21,Signal Type 21,Default Value 21,GPIO MUX 22,Signal Type 22,Default Value 22,GPIO MUX 23,Signal Type 23,Default Value 23,GPIO MUX 24,Signal Type 24,Default Value 24,GPIO MUX 25,Signal Type 25,Default Value 25,GPIO MUX 26,Signal Type 26,Default Value 26,GPIO MUX 27,Signal Type 27,Default Value 27,GPIO MUX 28,Signal Type 28,Default Value 28,GPIO MUX 29,Signal Type 29,Default Value 29,GPIO MUX 30,Signal Type 30,Default Value 30,GPIO MUX 31,Signal Type 31,Default Value 31,IO Buffer
DP0_0,CAN0TX,I/O,,TPIUCLK,O,,EPWM0A,O,,SPI8PICO,I/O,,OUTPUTXBAR6,O,,MCPWM4A,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_1,CAN0RX,I/O,,TPIUCTL,O,,EPWM0B,O,,SPI8POCI,I/O,,OUTPUTXBAR7,O,,MCPWM4B,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_2,CAN1TX,I/O,,TPIUDATA0,O,,EPWM1A,O,,SPI8CS0,I/O,,OUTPUTXBAR8,O,,MCPWM4C,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_3,CAN1RX,I/O,,TPIUDATA1,O,,EPWM1B,O,,SPI8CS1,I/O,,OUTPUTXBAR9,O,,MCPWM4D,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_4,CAN2TX,I/O,,TPIUDATA2,O,,EPWM2A,O,,SPI8CS2,I/O,,OUTPUTXBAR10,O,,MCPWM4E,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_5,CAN2RX,I/O,,TPIUDATA3,O,,EPWM2B,O,,SPI8CS3,I/O,,OUTPUTXBAR11,O,,MCPWM4F,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_6,CAN3TX,I/O,,ADC3EXTMUXSEL0,O,,EPWM3A,O,,SPI9CLK,I/O,,OUTPUTXBAR12,O,,MCPWM5A,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_7,CAN3RX,I/O,,ADC3EXTMUXSEL1,O,,EPWM3B,O,,SPI9PICO,I/O,,OUTPUTXBAR13,O,,MCPWM5B,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_8,CAN4TX,I/O,,ADC3EXTMUXSEL2,O,,EPWM4A,O,,SPI9POCI,I/O,,OUTPUTXBAR14,O,,MCPWM5C,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP0_9,CAN4RX,I/O,,ADC3EXTMUXSEL3,O,,EPWM4B,O,,SPI9CS0,I/O,,OUTPUTXBAR15,O,,MCPWM5D,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
